16
861 941
387 759 489
718 784 400
717 66 -914
34 836 -741
321 778 576
208 816 368
822 557 -139
454 419 -581
296 53 -858
213 432 -538
619 700 259
260 95 991
151 710 806
484 618 -1
24 510 935
633 276 -889
254 311 -909
567 110 317
610 293 270
646 219 -325
17 38 461
309 251 -491
401 76 -886
119 792 461
308 533 -134
777 334 -781
601 794 -994
459 272 -253
461 251 -831
176 690 816
297 856 -294
604 775 -449
287 402 -539
678 621 140
160 688 614
781 10 636
331 558 -850
410 828 61
68 178 -290
510 859 -870
707 639 442
711 206 -900
53 380 927
459 754 214
669 505 -682
310 84 244
831 802 349
587 160 781
362 406 357
329 622 487
8 89 759
615 429 505
298 351 133
596 461 -301
143 293 -435
567 363 -20
85 590 486
706 353 -238
368 85 -737
365 160 -242
463 484 -172
412 627 -557
531 611 817
707 63 -726
203 106 -962
548 20 933
552 50 -439
227 290 -284
485 244 293
39 556 130
164 764 -574
459 753 123
473 519 411
827 105 816
601 389 451
345 701 170
831 664 505
781 211 519
827 122 -836
856 622 -55
654 17 96
786 660 -693
550 291 271
431 512 -351
104 464 739
699 161 966
699 447 200
126 597 -842
310 112 -482
97 655 921
5 457 -916
384 37 -427
718 91 174
607 732 -795
211 88 668
845 178 -610
627 297 -633
509 668 645
800 693 640
405 34 -955
621 731 236
215 487 -341
672 4 990
243 414 733
82 479 -280
475 207 -326
488 286 315
709 216 -246
220 584 38
250 615 -343
565 754 916
830 322 771
256 554 -188
184 521 -604
682 850 -261
640 537 949
792 481 770
496 134 826
790 741 418
325 406 -431
603 189 -276
496 735 651
104 549 870
26 200 -796
120 340 -10
756 249 -650
369 178 -690
347 446 910
161 236 -169
46 549 -869
196 189 419
516 366 -2
405 497 633
654 635 123
798 238 353
538 303 409
546 739 356
141 692 604
725 411 187
473 846 -805
846 186 -309
750 526 -214
167 336 675
28 205 -698
245 147 -633
478 486 -236
341 564 940
689 37 441
659 713 -263
199 57 -949
89 392 501
581 90 506
569 148 -83
131 284 76
641 846 874
810 1 -781
765 9 15
261 166 863
385 559 101
153 351 -346
154 619 295
536 659 -30
66 197 660
191 475 131
311 19 -15
450 239 -157
595 824 -208
216 498 78
591 505 -801
750 1 -318
232 274 -860
301 155 -673
86 153 651
159 386 -615
850 346 122
201 185 -809
158 579 60
56 825 110
533 239 316
723 412 -978
243 127 618
539 585 -829
567 130 246
342 852 86
687 87 1000
487 178 830
719 239 -914
108 48 575
420 120 410
513 780 -117
427 689 -670
324 317 26
560 849 833
204 217 -60
107 644 658
79 203 616
235 226 119
510 451 337
538 81 142
430 409 -907
666 30 -729
594 750 365
685 505 -868
796 754 -870
44 273 -782
596 606 876
595 853 -887
629 266 413
797 21 433
752 156 -68
105 555 -6
773 394 -136
37 226 -735
20 415 40
316 810 -302
723 288 -877
110 450 665
641 629 -439
588 391 689
384 701 118
531 419 -506
682 600 812
52 348 -268
383 33 -830
566 843 86
628 337 272
186 371 -801
96 627 634
497 331 -767
205 171 566
249 76 -558
157 583 -239
479 83 472
454 738 316
597 218 -34
104 38 255
823 63 -195
664 768 837
668 692 929
155 545 -417
714 381 721
157 703 477
520 98 -186
775 199 668
265 842 228
552 463 -947
853 143 269
329 556 294
192 575 -395
504 209 946
685 457 524
426 774 -824
226 645 -204
426 427 112
293 551 -664
642 57 -546
313 25 -779
790 525 496
463 152 -424
336 451 680
349 17 -918
124 377 -230
461 622 -363
187 663 69
769 206 -501
552 620 285
116 800 -194
851 610 -945
210 757 -184
730 694 881
477 489 998
387 67 -725
137 761 760
273 560 159
444 550 800
732 585 170
448 201 165
194 812 786
180 831 880
742 371 585
507 487 267
371 754 569
645 282 572
725 375 177
358 83 -981
794 182 743
640 373 113
501 588 -241
797 560 -162
303 710 797
152 814 254
653 11 889
372 500 862
822 490 953
238 579 272
39 426 -207
80 779 540
398 852 -871
775 723 398
589 432 -560
427 82 -11
637 319 -973
571 367 -336
402 440 780
380 597 -329
726 137 460
474 126 -421
465 470 -33
741 596 141
23 717 -286
296 602 -492
477 782 -254
544 187 629
349 587 886
383 253 932
781 423 -26
168 548 300
539 746 125
560 433 173
71 288 -270
175 474 187
504 74 -304
432 312 -779
516 483 302
296 621 -703
16 109 -429
568 121 -845
528 224 -331
453 195 810
107 152 766
774 749 835
434 801 -771
641 719 889
702 704 -768
97 96 643
17 645 -899
246 33 -35
250 788 -332
342 256 392
49 75 -215
169 373 -985
378 785 994
859 202 -631
820 720 753
203 187 -111
298 26 396
492 855 -289
171 626 144
576 611 603
528 436 867
721 662 -956
358 657 46
680 858 896
359 417 -331
20 422 -466
514 459 -588
521 289 453
812 844 834
622 828 -993
677 736 -497
689 594 696
730 383 -993
460 189 766
380 765 -524
637 42 933
271 810 -705
57 60 -635
489 240 432
615 503 -544
638 211 -306
848 678 -456
565 337 617
659 677 -704
728 838 -537
109 764 -891
641 612 154
137 340 -873
60 631 241
661 636 -500
187 576 -27
118 185 137
328 771 -832
396 169 -899
598 834 -726
175 500 277
718 465 46
472 655 -220
183 104 700
32 214 -257
503 156 201
575 377 315
513 545 -521
204 211 -666
391 210 433
273 252 -757
377 212 -302
785 558 -593
818 149 483
332 753 98
189 168 -875
426 241 359
463 636 128
259 99 498
250 791 557
669 192 -684
2 652 17
834 509 -747
433 20 -533
402 767 -724
146 138 577
490 408 -507
255 164 6
324 672 945
602 608 446
710 617 953
450 792 -683
593 52 235
372 16 -49
816 557 -19
79 555 615
247 655 -875
41 371 724
147 599 372
718 768 678
568 682 796
509 202 520
210 297 -147
370 637 422
598 1 -285
197 682 -942
769 288 -93
19 499 694
618 139 -781
262 357 245
51 681 645
431 366 532
635 850 587
264 358 -689
47 755 347
433 161 -716
812 172 711
853 357 403
712 776 -834
260 688 -684
699 792 958
58 314 -313
272 611 720
239 662 400
492 475 918
166 825 489
637 352 -297
656 505 743
460 749 -149
570 263 -426
426 155 -98
541 347 -710
856 698 -516
239 440 662
618 440 -244
270 353 452
537 603 -982
275 511 -627
13 639 712
51 282 -769
771 525 -971
34 576 444
851 464 -517
496 632 -988
752 808 829
670 634 -674
827 482 426
751 414 -275
12 222 893
845 211 83
484 284 -127
556 663 -706
272 275 -991
81 833 19
338 781 -89
756 751 267
534 784 -189
437 359 46
51 610 84
722 310 782
723 642 -414
403 768 599
690 553 -333
222 627 984
645 421 -628
357 447 -333
51 682 -984
543 208 -898
425 669 285
429 803 -964
501 758 -338
140 263 526
342 770 -650
664 729 -434
711 656 -511
146 552 -587
170 253 -266
18 452 32
854 582 -287
773 213 960
594 62 -565
89 812 -507
213 311 -664
295 776 -63
394 89 845
634 552 887
450 384 60
839 256 -985
721 75 666
6 84 228
133 454 -166
782 778 646
774 669 -727
64 110 849
265 853 967
653 168 -692
11 23 -899
843 459 -586
97 500 -181
686 223 -336
24 33 -349
793 810 722
139 189 -339
553 511 -960
112 426 -530
683 424 -771
85 818 431
537 286 -146
265 132 692
18 772 119
637 124 -978
60 779 -939
460 626 740
755 16 -284
305 633 -116
415 618 -281
589 527 108
266 700 -560
12 768 -275
687 273 -393
322 782 -630
391 636 -577
573 83 -677
855 386 -128
701 689 -552
312 191 -958
493 445 136
320 464 189
152 361 169
409 858 544
623 379 722
735 378 -681
258 177 -498
246 739 -341
608 732 -215
356 796 -586
342 462 796
422 307 179
468 848 -991
152 658 -879
670 760 839
827 327 561
272 9 -271
599 279 -822
415 282 677
752 264 -134
21 143 -412
517 46 -983
1 294 280
208 114 960
168 11 57
32 357 42
450 166 -606
856 57 -959
231 824 396
544 391 159
137 698 -637
696 14 -421
451 253 774
165 18 992
631 114 140
500 378 714
627 197 -979
150 236 601
785 14 429
238 578 661
361 87 962
78 146 887
799 819 760
629 538 488
565 705 775
184 648 -226
263 756 -328
470 216 -17
699 317 518
113 691 -629
593 96 -229
64 81 -567
572 538 909
610 400 185
41 774 -561
446 753 9
407 682 961
312 94 691
399 774 999
29 139 447
351 304 557
548 26 7
351 301 643
546 745 -691
55 128 -754
856 84 778
84 601 972
565 426 75
525 674 336
329 522 -375
47 564 -790
276 424 389
762 507 500
684 202 -726
359 531 488
810 589 973
566 221 825
393 631 -930
102 421 565
411 69 -852
806 197 320
642 112 341
94 151 -5
373 498 -167
200 354 981
544 528 -297
241 505 270
450 258 -307
300 630 -227
735 853 212
498 457 1000
489 836 -834
331 9 129
109 650 386
786 299 633
145 179 231
38 365 -918
766 428 206
764 708 998
614 398 -36
791 159 -617
616 345 -843
96 827 191
440 290 587
250 675 -6
570 225 359
274 533 770
170 2 -354
209 414 288
52 555 -459
367 573 293
765 361 869
368 122 644
770 136 -913
727 354 -305
287 411 834
304 531 -841
728 789 237
515 802 -830
81 509 290
364 164 -823
23 771 -639
503 408 549
254 446 846
406 184 238
361 716 -109
807 220 133
220 19 254
534 603 -337
343 160 946
598 759 374
80 724 -648
278 640 -972
76 45 919
663 714 134
355 65 813
83 575 826
119 467 -701
221 488 458
292 643 341
358 619 266
251 776 927
34 648 -617
12 80 770
225 670 -716
136 212 -979
850 662 -245
654 150 -235
86 650 -926
596 18 -296
585 708 -12
23 56 -56
136 751 292
30 619 905
752 347 -539
701 722 689
156 240 -220
128 574 -602
800 98 -189
615 341 671
504 165 651
715 119 -597
561 723 -27
680 621 -691
501 683 -342
281 751 -559
586 353 745
370 222 -650
941 891
338 778 -799
442 561 735
431 876 583
314 179 698
357 156 550
588 141 825
207 450 908
904 196 -110
316 860 55
416 873 899
816 385 414
468 419 -698
660 238 -606
274 284 -808
684 57 515
934 719 782
170 270 296
863 372 310
299 452 180
310 864 370
483 51 -440
355 321 216
799 729 -27
577 103 -498
519 725 -165
295 504 741
329 278 -457
470 912 -924
884 666 -707
513 464 433
184 19 656
525 813 1000
709 773 722
37 873 -395
394 23 287
404 541 -384
649 575 847
763 712 -901
250 913 -127
18 708 -775
70 676 426
572 212 825
700 325 -627
918 462 -688
284 214 821
736 70 -500
446 781 262
202 257 -743
227 939 -896
705 732 -934
234 26 -408
809 151 813
501 28 645
769 531 -838
366 244 -299
570 411 -507
712 825 590
647 802 -43
62 368 -570
739 818 188
883 799 -921
753 562 -640
69 149 150
715 53 418
68 788 -672
12 453 -489
926 579 630
919 304 481
365 149 299
130 223 384
197 426 -229
118 690 614
300 400 522
637 336 76
559 36 32
538 810 55
489 865 930
923 605 293
156 37 295
312 517 80
375 67 911
173 306 -580
545 248 -130
453 756 370
854 327 -276
166 71 807
328 728 61
3 907 540
240 169 -408
356 939 -719
293 647 -188
827 462 -92
162 522 51
290 921 -710
562 636 80
861 282 31
857 244 269
145 908 664
691 164 152
173 68 -343
650 11 -483
48 192 81
701 418 871
146 768 -604
43 398 442
630 715 483
201 57 626
563 863 139
249 85 -953
322 498 18
816 117 -884
613 531 -844
173 289 -364
758 410 720
126 787 -450
508 835 -829
321 537 448
100 268 892
936 857 -226
495 275 709
911 749 835
263 308 461
150 846 -100
386 591 -635
119 450 228
689 635 -697
93 198 117
253 551 -109
402 248 -939
936 859 -12
461 672 946
575 554 737
902 906 -245
288 709 217
690 872 -230
36 449 990
96 522 -867
469 271 -44
812 155 967
69 126 700
715 445 564
463 749 -174
901 53 205
662 302 -736
430 666 -275
862 792 -364
137 86 556
530 15 290
74 550 -595
443 200 896
568 544 -888
106 159 -122
866 520 -64
704 52 -364
633 619 894
865 39 266
346 353 380
787 651 383
670 121 817
566 729 -576
792 348 425
44 743 186
519 910 631
522 224 -691
540 332 432
305 714 -403
871 30 -814
244 801 -911
167 736 80
462 124 -610
257 317 -732
339 117 638
256 762 618
576 552 -627
759 7 318
438 103 240
473 40 -27
880 819 119
811 549 239
550 380 -370
671 797 -915
264 594 -460
825 454 -139
652 887 178
462 677 -652
554 515 -901
53 376 -168
510 244 320
124 804 -595
891 690 -670
879 400 767
855 222 -693
824 483 591
917 431 310
278 488 795
216 811 -165
339 828 906
669 618 324
398 247 817
236 148 -435
850 539 -484
391 579 448
509 868 -386
675 242 -288
719 330 521
302 640 997
143 200 477
456 79 -586
372 915 736
785 298 -108
124 635 -307
142 552 871
646 425 -722
116 657 263
696 84 473
672 765 -939
877 67 632
546 202 87
360 121 -285
739 519 -809
658 768 858
861 382 -530
748 484 -485
62 715 -217
124 271 153
771 159 415
678 243 865
774 412 69
904 439 543
571 414 761
194 711 -818
306 841 523
483 924 967
410 135 592
408 652 -952
481 139 46
900 611 -962
787 403 -132
222 283 339
241 706 298
545 829 391
172 318 925
787 308 583
191 395 -809
930 15 765
206 762 917
60 182 -192
485 9 109
638 807 -909
255 289 -359
319 65 -763
431 542 -806
505 717 -998
222 799 66
146 782 -790
936 112 -125
56 819 -479
755 759 575
732 925 881
66 770 420
196 763 389
673 80 792
484 560 -653
539 143 -550
172 660 465
136 21 -439
1 58 -455
753 740 94
817 877 353
645 737 -517
653 544 95
219 583 651
137 780 995
179 120 893
784 12 49
392 255 830
797 326 815
891 407 798
771 742 -377
140 54 66
471 280 -391
282 679 859
394 676 536
592 53 655
569 531 563
817 473 -469
18 370 -685
618 305 -535
464 914 788
757 708 -480
713 145 593
740 173 -36
470 3 754
777 909 421
838 596 950
701 219 -255
399 186 823
674 165 584
397 160 -599
542 410 941
519 866 -321
178 143 -993
517 19 -450
406 280 -941
17 132 587
637 162 -960
69 613 -494
172 571 -600
331 630 260
355 727 -486
548 458 431
674 874 -886
904 907 -678
801 355 -936
8 694 -928
579 126 477
326 798 -724
689 619 901
521 88 563
669 377 178
320 455 -510
305 807 -139
543 244 -838
200 350 -571
714 753 505
600 253 -424
299 87 246
467 188 -818
640 496 59
448 74 -945
482 594 279
637 718 -708
35 905 342
548 379 -472
395 397 78
829 291 -705
542 359 767
311 76 -263
131 903 -507
377 761 921
473 419 307
454 449 -334
538 711 -170
245 750 -812
707 784 -150
46 31 -867
489 679 945
526 67 -908
573 59 -214
456 32 -422
21 487 -827
82 584 472
17 455 -801
930 537 -796
637 610 -598
364 107 398
664 892 -140
116 681 -886
254 905 295
797 482 103
441 484 -316
621 305 -268
193 918 66
755 589 -89
598 152 299
661 646 -129
620 223 -185
930 804 -537
71 631 -500
68 414 815
394 181 -897
409 609 629
648 12 -592
748 670 -840
13 304 350
929 539 -504
36 920 -25
567 690 175
124 850 226
579 72 -139
843 181 -817
781 34 -569
367 809 953
295 580 682
554 508 748
775 576 768
744 132 186
377 29 -910
137 372 928
147 688 80
550 197 821
556 392 -143
854 637 -282
438 715 -729
678 314 979
791 512 -956
52 248 -426
297 122 361
34 828 74
325 62 -639
840 318 -334
88 10 -281
140 587 691
214 891 -6
6 119 372
126 330 849
471 713 -322
344 17 -220
607 484 82
798 184 720
155 354 685
695 640 178
27 37 -829
794 914 -628
87 399 44
730 161 770
691 336 -565
584 390 -235
425 249 -1
845 395 868
891 353 -837
910 676 -369
855 687 992
387 680 896
288 135 -952
381 569 213
825 596 290
461 922 230
172 253 -966
513 559 214
689 620 26
472 642 751
281 35 544
381 274 -683
185 553 329
8 692 -929
609 840 849
664 466 -165
47 719 820
264 445 120
853 349 -718
167 136 -767
787 646 -841
258 546 -253
183 350 -476
403 419 -827
140 823 -872
770 884 857
820 826 -558
725 444 575
296 143 -115
13 917 -893
571 313 -82
354 415 251
488 599 132
929 52 -302
714 836 -110
645 751 621
666 544 820
474 929 -945
659 456 442
238 385 125
139 101 167
849 26 883
413 139 172
540 859 -240
923 363 490
202 14 526
454 370 663
538 116 534
389 575 -317
541 252 -98
401 858 995
494 682 381
547 450 836
415 385 435
354 84 971
563 849 -55
493 356 706
625 774 -356
140 686 -20
151 5 695
534 117 265
479 535 -606
533 580 -616
434 191 -562
239 159 -970
74 623 540
228 714 111
545 535 -372
6 648 42
103 538 -505
478 194 -814
23 283 -578
156 195 -482
901 136 -359
794 538 270
604 681 -952
398 307 19
509 497 -217
274 469 -428
713 587 872
257 509 -904
793 479 447
559 694 -249
403 132 302
212 158 -622
86 262 891
354 8 418
20 903 -580
304 630 801
354 495 186
61 25 778
584 531 -730
668 883 176
569 54 145
888 170 -684
309 650 -648
876 27 420
187 218 -228
118 836 682
682 937 413
295 230 246
85 7 933
177 413 -620
446 193 442
938 298 429
143 928 73
285 442 687
685 412 912
824 881 -537
367 233 709
834 229 518
66 674 -489
97 424 -312
110 539 -307
511 342 -449
282 34 136
278 574 -374
785 75 159
658 513 594
478 696 627
931 217 137
770 403 67
729 301 704
20 533 756
441 198 -179
408 255 770
730 40 116
470 729 -173
591 71 -402
660 161 244
386 160 -666
437 363 987
455 837 -254
210 328 -938
864 114 291
43 579 -728
448 730 476
589 447 123
175 238 -637
534 15 -860
192 834 -70
427 353 -1000
487 360 -404
576 721 986
43 825 -891
345 92 238
583 411 -336
434 227 -944
151 280 -306
299 720 -653
168 139 -408
807 45 888
789 929 -199
40 535 570
234 541 57
325 146 -146
923 22 -336
512 739 -184
392 499 311
505 827 -293
243 356 -411
885 619 -715
475 246 517
874 429 734
160 298 -370
203 390 -799
609 865 836
42 691 57
147 583 -424
306 648 -14
730 345 -117
97 813 -791
769 580 77
332 587 12
252 844 87
725 616 451
418 506 439
505 148 -652
128 561 -145
401 221 726
816 777 -691
85 417 263
473 774 -492
644 338 -60
82 65 918
860 673 -713
105 703 -516
155 831 48
916 254 165
410 792 183
420 851 996
124 371 497
236 574 -61
378 315 -789
769 576 -684
879 889 55
47 699 391
427 566 607
684 402 -544
209 826 -284
560 334 943
870 732 -219
929 176 141
927 823 -561
611 784 -795
852 31 902
634 583 761
443 346 787
111 700 770
782 388 -104
294 639 111
182 647 853
47 23 -703
760 414 -372
376 749 836
919 566 -66
739 678 260
863 359 -360
802 888 629
906 473 -640
475 104 -964
304 124 240
725 363 516
716 498 -181
771 914 735
654 238 -695
601 292 -33
165 27 -980
373 624 994
116 775 -818
94 741 -985
267 89 599
920 279 585
680 297 -701
624 628 788
485 117 -227
760 752 476
676 357 -198
474 382 -561
745 626 -858
781 357 -119
479 751 960
391 878 610
720 723 -83
480 871 -742
183 135 -292
175 295 -448
905 933 303
245 512 -720
611 243 389
170 665 -811
918 553 -240
203 75 24
421 375 -739
657 414 -781
447 256 721
808 941 224
497 352 -365
913 137 -208
209 191 -320
598 442 137
16 119 -973
513 164 -198
364 765 -176
865 197 -198
161 910 -560
666 23 -689
850 460 915
867 197 964
489 578 277
338 181 -964
14 360 977
806 217 534
456 594 593
667 914 -604
243 19 -416
161 824 173
601 181 -392
761 339 -405
291 48 -549
188 222 38
85 680 800
825 890 324
393 427 -49
709 46 919
899 646 304
233 796 -38
911 374 139
174 147 -320
392 351 121
417 795 -614
859 582 973
792 833 -952
73 150 -161
742 564 402
116 478 636
651 653 412
783 425 169
603 678 233
304 853 264
394 701 937
209 811 880
803 118 -144
461 106 761
70 14 -745
690 422 101
258 709 69
849 800 -172
139 262 -357
763 87 -255
656 751 -795
47 742 -632
588 315 470
306 310 392
494 153 -857
277 271 403
736 798 -361
612 371 -871
418 643 634
562 234 510
13 120 258
659 261 -783
508 384 802
237 300 -306
350 562 -491
333 890 -766
515 113 806
110 143 764
310 505 908
290 620 -755
838 136 672
206 738 -841
413 298 348
265 18 -773
595 587 393
13 479 -934
579 673 284
635 756 918
397 674 51
650 640 115
879 391 -54
191 841 -359
237 305 472
754 443 -760
775 237 140
781 916 423
78 161 998
114 708 -922
729 511 343
786 790 738
516 440 279
465 650 163
50 52 913
74 783 813
916 304 -679
709 533 102
871 142 597
332 219 -118
711 511 994
695 562 -465
239 293 -243
538 860 -853
705 547 -784
114 745 -904
834 693 -592
675 678 -210
874 502 675
619 448 12
496 532 379
766 499 -244
14 515 -719
137 666 -64
647 406 -690
468 733 643
898 83 139
328 617 790
203 788 -599
93 510 -102
284 559 -975
506 797 -452
437 331 320
441 253 -476
334 100 -638
51 910 -467
216 656 -267
282 155 589
643 641 144
863 836 -181
241 816 -680
29 167 462
212 734 345
145 729 -508
712 142 65
70 51 718
589 806 -507
127 20 455
1 257 -452
209 650 212
174 504 25
906 310 -248
567 920 437
934 184 -832
906 940 -37
669 452 -792
42 62 -994
350 797 -98
196 853 -66
289 589 -656
851 89 251
461 878 689
868 149 863
96 440 765
708 666 259
569 428 18
662 367 718
234 105 -129
803 172 -829
88 314 -10
445 193 -48
659 672 -108
847 684 -299
845 484 938
823 438 -209
831 338 -342
59 38 -563
423 382 -845
601 487 -868
32 539 -476
873 506 467
124 775 829
130 100 -779
145 352 272
366 907 475
597 852 838
399 802 836
108 792 551
834 589 302
19 283 186
803 502 476
799 717 524
846 462 -725
357 224 440
44 330 409
530 788 913
585 404 -640
515 359 392
612 118 -715
461 252 329
725 187 -967
313 927 -798
872 195 930
724 290 2
306 334 730
564 60 -421
860 881 774
478 553 -155
588 825 -52
720 594 -293
740 440 -309
7 706 -907
259 446 925
907 294 639
645 849 -388
657 170 343
736 651 -498
570 436 -695
812 39 -78
320 398 -578
849 899 -670
883 830
282 291 246
775 425 602
670 174 428
282 839 778
674 715 -228
705 104 77
56 443 699
507 14 -120
238 247 -68
489 226 61
24 557 599
161 168 789
685 319 561
583 739 -296
533 806 25
209 608 155
56 46 -434
196 728 -991
807 579 -883
645 306 90
726 341 779
221 633 -839
74 765 -766
156 309 -114
580 667 995
32 687 -748
619 602 401
267 414 44
227 442 -553
115 90 -626
599 67 143
530 809 -945
139 837 -917
838 35 -26
197 760 34
580 426 414
188 380 -683
17 848 -811
276 857 -968
207 294 -871
472 683 -451
177 155 -564
11 862 -185
29 506 -468
451 405 215
471 68 259
41 810 896
512 861 -258
472 30 762
444 9 -422
655 720 -159
20 860 -261
525 312 -795
812 85 -686
737 722 213
74 116 133
377 549 -258
290 850 -631
37 267 -44
200 5 337
146 614 -501
813 162 -842
496 38 -315
11 275 577
651 506 -951
630 717 -863
340 659 -861
473 260 764
453 812 907
786 763 -116
309 786 -431
736 559 -693
285 575 -821
329 214 479
729 560 -832
445 524 267
200 869 -664
163 670 595
225 458 468
572 25 394
655 838 503
616 40 628
304 528 -861
180 37 -142
527 253 662
114 843 -449
706 376 335
731 747 -556
502 16 -907
9 40 665
36 109 688
558 633 -564
848 867 392
210 763 13
368 819 874
841 610 341
353 725 956
20 716 -248
253 270 -665
187 306 254
769 182 223
754 391 998
247 813 -452
199 619 -926
103 11 368
111 553 481
132 169 -710
487 95 313
399 325 761
822 432 -814
484 349 -534
589 814 691
272 237 -776
549 456 61
170 688 897
762 138 -585
104 646 479
332 520 -629
341 212 793
261 451 17
618 883 -861
355 476 -238
868 227 -733
786 476 -830
467 482 330
782 542 -60
325 56 -374
431 575 52
307 429 -668
651 726 740
183 543 -208
103 130 286
80 846 786
283 17 -715
512 413 -851
226 741 -211
192 686 859
191 705 -254
447 838 -102
629 202 897
452 449 471
186 742 -467
209 528 -739
581 480 -932
787 331 168
644 712 -588
352 819 -164
566 813 715
446 448 392
784 873 -96
110 397 656
868 410 284
837 440 -40
310 175 -439
575 101 -844
859 446 -400
175 649 420
864 795 331
355 301 -740
398 520 -905
434 642 -50
110 561 222
371 830 911
838 366 -315
551 578 -203
287 129 554
613 371 -567
395 727 -20
344 697 -521
212 560 839
523 870 -103
551 790 -887
524 457 623
146 482 169
662 114 -649
45 28 693
344 249 228
586 458 -625
810 741 -721
435 377 -338
838 846 404
666 373 -601
67 689 307
144 557 997
787 846 902
823 617 405
308 260 -101
370 252 -440
18 50 765
57 670 552
67 424 -764
361 831 417
515 553 -202
435 367 -821
90 489 339
57 402 722
128 833 -872
148 668 226
4 630 -286
186 278 789
253 565 39
577 471 -727
737 183 -939
543 452 181
636 68 -357
300 299 206
75 436 785
424 438 -897
480 588 -433
448 822 231
745 314 -698
560 11 986
92 32 750
97 448 280
686 746 775
717 855 152
277 237 44
864 860 -977
629 164 969
658 367 -457
784 782 203
397 844 401
714 625 -771
43 724 570
216 880 107
475 521 4
51 17 -913
94 269 -535
524 827 739
212 327 305
720 212 397
118 711 -303
451 867 602
475 810 864
55 755 200
662 484 919
510 297 965
123 628 401
815 218 127
85 480 957
16 421 -292
873 707 -150
598 255 -25
82 784 967
152 95 657
482 330 -841
394 123 -171
713 592 -676
729 882 194
274 163 -419
705 118 749
498 354 -205
665 10 -173
473 487 -651
239 717 284
790 183 846
411 730 539
282 570 155
224 183 955
879 621 571
232 634 154
828 713 -958
455 684 496
155 370 -840
31 677 -833
741 185 473
329 802 -556
284 256 718
455 516 -6
116 231 386
575 39 -410
147 337 -767
153 166 -488
620 634 630
846 11 -112
595 223 782
841 777 799
826 182 -700
488 390 279
610 459 355
671 427 744
413 490 -870
185 608 -886
372 771 761
239 108 702
369 608 62
332 835 -667
509 606 -903
221 242 -238
599 419 817
613 75 582
545 337 32
279 577 -84
740 480 -339
768 733 -1000
168 682 -783
491 753 335
147 43 557
303 116 -606
290 489 623
699 211 441
775 568 155
338 712 393
617 62 -609
221 756 -631
427 634 292
72 780 92
450 565 -444
507 530 -802
586 736 -348
670 850 672
588 501 421
368 168 395
736 504 614
782 547 -992
78 879 -869
279 699 696
357 192 -819
377 367 -137
386 355 422
